accepted_fraction_mean,accepted_fraction_std,avg_reward_mean,avg_reward_std,avg_tokens_per_sec_mean,avg_tokens_per_sec_std,dropped_fraction_mean,dropped_fraction_std,dropped_stale_count_mean,dropped_stale_count_std,effective_updates_per_second_mean,effective_updates_per_second_std,max_staleness_mean,max_staleness_std,mean_staleness_mean,mean_staleness_std,mode,n_runs,pass_rate_mean,pass_rate_per_update_mean,pass_rate_per_update_std,pass_rate_std,reward_per_second_mean,reward_per_second_std,reward_per_update_mean,reward_per_update_std,seed,staleness_k,update_count_mean,update_count_std,wall_clock_sec_mean,wall_clock_sec_std
0.8333333333333334,0.0,0.35,0.0,918348.3777403564,0.0,0.16666666666666666,0.0,0.0,0.0,3.4899973972530702,0.0,0.0,0.0,0.0,0.0,async_areal_style,1,0.2,0.8,0.0,0.0,4.8859963561542985,0.0,1.4,0.0,0,0,5.0,0.0,1.4326658248901367,0.0
0.8333333333333334,0.0,0.35,0.0,879438.3283854537,0.0,0.16666666666666666,0.0,0.0,0.0,3.4994053778141097,0.0,0.0,0.0,0.0,0.0,async_areal_style,1,0.2,0.8,0.0,0.0,4.899167528939754,0.0,1.4,0.0,1,0,5.0,0.0,1.428814172744751,0.0
0.8333333333333334,0.0,0.35,0.0,884588.9713497233,0.0,0.16666666666666666,0.0,0.0,0.0,3.4719588043950456,0.0,0.0,0.0,0.0,0.0,async_areal_style,1,0.2,0.8,0.0,0.0,4.860742326153064,0.0,1.4,0.0,2,0,5.0,0.0,1.4401092529296875,0.0
0.8333333333333334,0.0,0.35,0.0,957239.5149658077,0.0,0.16666666666666666,0.0,0.0,0.0,3.4346545777335216,0.0,0.0,0.0,0.0,0.0,async_areal_style,1,0.2,0.8,0.0,0.0,4.8085164088269305,0.0,1.4,0.0,0,1,5.0,0.0,1.4557504653930664,0.0
0.8333333333333334,0.0,0.35,0.0,909045.659894461,0.0,0.16666666666666666,0.0,0.0,0.0,3.4027368872292714,0.0,0.0,0.0,0.0,0.0,async_areal_style,1,0.2,0.8,0.0,0.0,4.76383164212098,0.0,1.4,0.0,1,1,5.0,0.0,1.4694054126739502,0.0
0.8333333333333334,0.0,0.35,0.0,894689.9890021989,0.0,0.16666666666666666,0.0,0.0,0.0,3.4074734107977718,0.0,0.0,0.0,0.0,0.0,async_areal_style,1,0.2,0.8,0.0,0.0,4.770462775116881,0.0,1.4,0.0,2,1,5.0,0.0,1.467362880706787,0.0
0.8333333333333334,0.0,0.35,0.0,813077.0886198106,0.0,0.16666666666666666,0.0,0.0,0.0,3.543171779001175,0.0,0.0,0.0,0.0,0.0,async_areal_style,1,0.2,0.8,0.0,0.0,4.960440490601645,0.0,1.4,0.0,0,2,5.0,0.0,1.4111649990081787,0.0
0.8333333333333334,0.0,0.35,0.0,786635.4753872266,0.0,0.16666666666666666,0.0,0.0,0.0,3.50115336027095,0.0,0.0,0.0,0.0,0.0,async_areal_style,1,0.2,0.8,0.0,0.0,4.90161470437933,0.0,1.4,0.0,1,2,5.0,0.0,1.428100824356079,0.0
0.8333333333333334,0.0,0.35,0.0,891539.248041486,0.0,0.16666666666666666,0.0,0.0,0.0,3.311777022544508,0.0,0.0,0.0,0.0,0.0,async_areal_style,1,0.2,0.8,0.0,0.0,4.636487831562311,0.0,1.4,0.0,2,2,5.0,0.0,1.509763479232788,0.0
0.8333333333333334,0.0,0.35,0.0,807630.6594780885,0.0,0.16666666666666666,0.0,0.0,0.0,3.4128534008238427,0.0,0.0,0.0,0.0,0.0,async_areal_style,1,0.2,0.8,0.0,0.0,4.777994761153379,0.0,1.4,0.0,0,4,5.0,0.0,1.4650497436523438,0.0
0.8333333333333334,0.0,0.35,0.0,802472.1554317994,0.0,0.16666666666666666,0.0,0.0,0.0,3.499463771494403,0.0,0.0,0.0,0.0,0.0,async_areal_style,1,0.2,0.8,0.0,0.0,4.899249280092164,0.0,1.4,0.0,1,4,5.0,0.0,1.4287903308868408,0.0
0.8333333333333334,0.0,0.31666666666666665,0.0,843277.1689280018,0.0,0.16666666666666666,0.0,0.0,0.0,3.344443459240297,0.0,1.0,0.0,0.1,0.0,async_areal_style,1,0.2,0.8,0.0,0.0,4.236295048371042,0.0,1.2666666666666666,0.0,2,4,5.0,0.0,1.4950170516967773,0.0
0.20833333333333334,0.0,0.3333333333333333,0.0,1902513.306381086,0.0,0.7916666666666666,0.0,19.0,0.0,9.936154058449443,0.0,0.0,0.0,0.0,0.0,async_train,1,0.2,0.5,0.0,0.0,8.280128382041202,0.0,0.8333333333333333,0.0,0,0,2.0,0.0,0.20128512382507324,0.0
0.20833333333333334,0.0,0.4666666666666667,0.0,2013123.5793665159,0.0,0.7916666666666666,0.0,19.0,0.0,6.632736841439424,0.0,0.0,0.0,0.0,0.0,async_train,1,0.4,1.0,0.0,0.0,7.738192981679329,0.0,1.1666666666666667,0.0,1,0,2.0,0.0,0.30153465270996094,0.0
0.20833333333333334,0.0,0.6,0.0,2161080.032329825,0.0,0.7916666666666666,0.0,19.0,0.0,9.932283501858912,0.0,0.0,0.0,0.0,0.0,async_train,1,0.4,1.0,0.0,0.0,14.898425252788368,0.0,1.5,0.0,2,0,2.0,0.0,0.20136356353759766,0.0
0.375,0.0,0.2962962962962963,0.0,3047096.30617419,0.0,0.625,0.0,15.0,0.0,7.470840185955933,0.0,1.0,0.0,0.4444444444444444,0.0,async_train,1,0.2222222222222222,0.6666666666666666,0.0,0.0,6.640746831960829,0.0,0.8888888888888888,0.0,0,1,3.0,0.0,0.40156126022338867,0.0
0.375,0.0,0.3703703703703704,0.0,3214884.0362822153,0.0,0.625,0.0,15.0,0.0,7.4720690644201015,0.0,1.0,0.0,0.4444444444444444,0.0,async_train,1,0.3333333333333333,1.0,0.0,0.0,8.30229896046678,0.0,1.1111111111111112,0.0,1,1,3.0,0.0,0.40149521827697754,0.0
0.375,0.0,0.4444444444444444,0.0,3501444.6157747307,0.0,0.625,0.0,15.0,0.0,7.470374471243042,0.0,1.0,0.0,0.4444444444444444,0.0,async_train,1,0.3333333333333333,1.0,0.0,0.0,9.960499294990724,0.0,1.3333333333333333,0.0,2,1,3.0,0.0,0.40158629417419434,0.0
0.5416666666666666,0.0,0.3333333333333333,0.0,4408628.325274725,0.0,0.4583333333333333,0.0,11.0,0.0,7.974394049867721,0.0,2.0,0.0,0.9230769230769231,0.0,async_train,1,0.23076923076923078,0.75,0.0,0.0,8.638926887356698,0.0,1.0833333333333333,0.0,0,2,4.0,0.0,0.5016055107116699,0.0
0.5416666666666666,0.0,0.41025641025641024,0.0,4242092.402355154,0.0,0.4583333333333333,0.0,11.0,0.0,6.6441946319622165,0.0,2.0,0.0,0.9230769230769231,0.0,async_train,1,0.3076923076923077,1.0,0.0,0.0,8.858926175949621,0.0,1.3333333333333333,0.0,1,2,4.0,0.0,0.6020293235778809,0.0
0.5416666666666666,0.0,0.38461538461538464,0.0,3834481.3511927593,0.0,0.4583333333333333,0.0,11.0,0.0,7.974450905022219,0.0,2.0,0.0,0.9230769230769231,0.0,async_train,1,0.3076923076923077,1.0,0.0,0.0,9.968063631277774,0.0,1.25,0.0,2,2,4.0,0.0,0.5016019344329834,0.0
0.875,0.0,0.3333333333333333,0.0,5470113.408736588,0.0,0.125,0.0,3.0,0.0,7.477144130492913,0.0,4.0,0.0,1.9047619047619047,0.0,async_train,1,0.23809523809523808,0.8333333333333334,0.0,0.0,8.7233348189084,0.0,1.1666666666666667,0.0,0,4,6.0,0.0,0.8024454116821289,0.0
0.875,0.0,0.4444444444444445,0.0,5087611.010514244,0.0,0.125,0.0,3.0,0.0,7.477224107932343,0.0,4.0,0.0,1.9047619047619047,0.0,async_train,1,0.38095238095238093,1.3333333333333333,0.0,0.0,11.631237501228089,0.0,1.5555555555555556,0.0,1,4,6.0,0.0,0.8024368286132812,0.0
0.875,0.0,0.3492063492063492,0.0,4648065.599165518,0.0,0.125,0.0,3.0,0.0,7.481554328605625,0.0,4.0,0.0,1.9047619047619047,0.0,async_train,1,0.2857142857142857,1.0,0.0,0.0,9.144121957184653,0.0,1.222222222222222,0.0,2,4,6.0,0.0,0.8019723892211914,0.0
1.0,0.0,0.3333333333333333,0.0,1583307.8580068983,0.0,0.0,0.0,0.0,0.0,6.749647374992121,0.0,0.0,0.0,0.0,0.0,sync_train,1,0.20833333333333334,0.8333333333333334,0.0,0.0,8.999529833322828,0.0,1.3333333333333333,0.0,0,,6.0,0.0,0.8889353275299072,0.0
1.0,0.0,0.4166666666666667,0.0,1569279.6522745814,0.0,0.0,0.0,0.0,0.0,6.884195564387074,0.0,0.0,0.0,0.0,0.0,sync_train,1,0.3333333333333333,1.3333333333333333,0.0,0.0,11.473659273978456,0.0,1.6666666666666667,0.0,1,,6.0,0.0,0.8715615272521973,0.0
1.0,0.0,0.3888888888888889,0.0,1308172.334744885,0.0,0.0,0.0,0.0,0.0,6.8457885973271155,0.0,0.0,0.0,0.0,0.0,sync_train,1,0.3333333333333333,1.3333333333333333,0.0,0.0,10.64900448473107,0.0,1.5555555555555556,0.0,2,,6.0,0.0,0.8764512538909912,0.0
